folder,N,T,batch_size,dataset_dir,dropout,epochs,imbalance,knn,layers,lr,m,max_queries,nodes,timestamp,type,weight_decay,Average AF,Recall@5,QPS,tApproximateAverage,tTrueAverage
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-06 13:55:01,sift,0.001,1.000000,1.000000,16.129305,0.061999,0.035312
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T30,5,30,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-06 13:09:27,sift,0.001,1.000000,0.298200,43.969481,0.022743,0.038795
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-06 13:32:16,sift,0.001,1.000000,0.556200,33.190508,0.030129,0.036524
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-06 13:43:57,sift,0.001,1.000000,0.773400,22.006447,0.045441,0.034671
knn25_m200_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,200,1000,512,2025-12-06 14:37:58,sift,0.001,1.000000,0.507200,31.812021,0.031435,0.036789
knn25_m200_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T30,5,30,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,200,1000,512,2025-12-06 14:06:25,sift,0.001,1.000000,0.176600,79.093599,0.012643,0.034987
knn25_m200_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,200,1000,512,2025-12-06 14:16:46,sift,0.001,1.000000,0.259600,57.339682,0.017440,0.036161
knn25_m200_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,200,1000,512,2025-12-06 14:27:12,sift,0.001,1.000000,0.408800,44.228613,0.022610,0.035807
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-06 12:57:31,sift,0.001,1.000000,1.000000,14.517076,0.068884,0.036886
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T30,5,30,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-06 12:22:08,sift,0.001,1.000000,0.550600,24.650290,0.040567,0.040304
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-06 12:32:43,sift,0.001,1.000000,1.000000,13.804794,0.072439,0.041388
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-06 12:44:57,sift,0.001,1.000000,1.000000,13.015846,0.076829,0.043033
